,DEP00,DEP01,DEP02,DEP03,CUS00,CUS01,DEP04,DEP05,DEP06,DEP07,DEP08,DEP09,DEP10,DEP11,YARD,DEP12,CUS02,DEP13,DEP14,CUS03,DEP15,DEP16,DEP17,DEP18,DEP19,DEP20,DEP21,DEP22,DEP23,DEP24,DEP25,DEP26,DEP27,CUS04,DEP28,CUS05,DEP29,CUS06,DEP30,DEP31,DEP32,DEP33,DEP34,DEP35,DEP36,DEP37,DEP38,DEP39,DEP40,DEP41,DEP42,DEP43,DEP44,CUS07
DEP14,2.28,0.20,0.58,0.22,0.07,0.18,0.38,0.52,0.53,0.22,0.05,0.40,0.58,0.10,0.13,0.22,0.10,0.20,0.00,0.15,0.25,0.37,0.27,0.22,0.20,0.13,0.22,0.13,0.22,0.62,0.28,0.45,0.25,0.08,0.60,0.08,0.30,0.18,0.63,0.18,0.50,0.37,0.25,2.35,0.27,0.63,0.57,0.05,0.52,0.63,2.17,0.22,0.42,0.35
CUS03,2.32,0.07,0.60,0.08,0.08,0.18,0.37,0.58,0.55,0.13,0.17,0.37,0.65,0.08,0.08,0.15,0.07,0.22,0.13,0.00,0.18,0.42,0.20,0.08,0.07,0.10,0.15,0.05,0.10,0.63,0.18,0.38,0.18,0.10,0.57,0.07,0.33,0.18,0.48,0.23,0.45,0.37,0.12,2.25,0.23,0.63,0.45,0.13,0.50,0.53,1.30,0.28,0.38,0.07
DEP15,2.12,0.17,0.58,0.15,0.25,0.07,0.22,0.62,0.62,0.05,0.22,0.38,0.58,0.25,0.17,0.45,0.23,0.57,0.23,0.17,0.00,0.23,0.03,0.17,0.18,0.13,0.15,0.18,0.12,0.70,0.13,0.38,0.43,0.22,0.40,0.18,0.48,0.07,0.47,0.10,0.28,0.23,0.17,2.08,0.18,0.60,0.43,0.22,0.33,0.50,1.98,0.13,0.23,0.25
DEP16,2.07,0.35,0.72,0.33,0.40,0.25,0.42,0.70,0.70,0.25,0.42,0.43,0.75,0.38,0.40,0.65,0.37,0.77,0.35,0.35,0.22,0.00,0.25,0.37,0.37,0.32,0.37,0.38,0.35,0.77,0.23,0.43,0.63,0.35,0.40,0.35,0.67,0.25,0.53,0.22,0.48,0.12,0.38,1.92,0.38,0.73,0.47,0.35,0.23,0.53,1.95,0.20,0.43,0.47
DEP17,2.35,0.17,0.60,0.15,0.28,0.08,0.25,0.65,0.68,0.07,0.23,0.42,0.62,0.25,0.17,0.37,0.25,0.57,0.28,0.18,0.03,0.23,0.00,0.17,0.18,0.13,0.18,0.18,0.12,0.70,0.10,0.37,0.43,0.22,0.47,0.18,0.45,0.08,0.43,0.12,0.30,0.25,0.17,2.07,0.23,0.62,0.40,0.25,0.35,0.48,2.23,0.13,0.22,0.25
DEP18,2.55,0.08,0.50,0.07,0.17,0.20,0.15,0.72,0.50,0.13,0.22,0.32,0.53,0.15,0.12,0.10,0.13,0.18,0.20,0.10,0.20,0.42,0.20,0.00,0.02,0.10,0.07,0.08,0.05,0.55,0.18,0.45,0.10,0.13,0.62,0.12,0.20,0.20,0.43,0.22,0.20,0.42,0.02,2.25,0.15,0.53,0.38,0.17,0.52,0.48,1.37,0.27,0.12,0.12
DEP19,2.63,0.05,0.52,0.05,0.13,0.18,0.15,0.65,0.62,0.12,0.20,0.42,0.53,0.12,0.08,0.10,0.10,0.20,0.18,0.07,0.18,0.40,0.18,0.02,0.00,0.07,0.07,0.07,0.03,0.62,0.17,0.38,0.10,0.12,0.60,0.08,0.22,0.18,0.42,0.22,0.22,0.40,0.02,2.23,0.15,0.53,0.37,0.15,0.50,0.45,1.33,0.25,0.13,0.10
DEP20,2.38,0.07,0.58,0.05,0.17,0.13,0.33,0.63,0.55,0.08,0.17,0.43,0.63,0.15,0.03,0.15,0.13,0.25,0.17,0.10,0.13,0.33,0.12,0.08,0.07,0.00,0.13,0.05,0.12,0.62,0.17,0.43,0.15,0.12,0.52,0.08,0.25,0.13,0.52,0.17,0.38,0.35,0.08,2.18,0.28,0.63,0.52,0.13,0.43,0.57,2.25,0.20,0.35,0.12
DEP21,2.37,0.13,0.43,0.12,0.20,0.17,0.08,0.67,0.50,0.10,0.25,0.25,0.45,0.20,0.18,0.08,0.18,0.20,0.20,0.15,0.13,0.37,0.18,0.05,0.07,0.12,0.00,0.13,0.07,0.55,0.18,0.23,0.10,0.20,0.53,0.17,0.20,0.17,0.42,0.20,0.13,0.35,0.05,2.25,0.08,0.47,0.38,0.22,0.47,0.43,1.28,0.23,0.07,0.22
DEP22,2.50,0.02,0.60,0.05,0.10,0.18,0.27,0.62,0.58,0.12,0.15,0.42,0.62,0.08,0.02,0.23,0.07,0.25,0.12,0.05,0.17,0.40,0.17,0.08,0.07,0.05,0.17,0.00,0.10,0.62,0.15,0.42,0.17,0.07,0.63,0.03,0.28,0.18,0.47,0.22,0.40,0.40,0.10,2.23,0.27,0.62,0.43,0.08,0.52,0.58,2.38,0.23,0.35,0.07
DEP23,3.10,0.20,0.63,0.20,0.28,0.20,0.22,0.80,0.68,0.13,0.37,0.32,0.65,0.25,0.22,0.30,0.25,0.45,0.32,0.22,0.18,0.37,0.18,0.17,0.15,0.23,0.13,0.20,0.00,0.70,0.12,0.28,0.32,0.28,0.93,0.23,0.43,0.20,0.48,0.23,0.27,0.40,0.17,1.85,0.22,0.65,0.40,0.30,0.55,0.45,1.80,0.28,0.17,0.22
DEP24,2.60,0.65,0.05,0.65,0.63,0.65,0.53,1.28,0.07,0.60,0.70,0.55,0.13,0.63,0.85,0.52,0.65,0.47,0.68,0.67,0.65,0.88,0.65,0.60,0.62,0.68,0.48,0.67,0.58,0.00,0.75,0.53,0.52,0.73,0.93,0.70,0.42,0.65,0.87,1.00,0.50,0.88,0.60,2.77,0.53,0.13,0.82,0.75,1.02,0.72,1.73,0.72,0.48,0.83
DEP25,2.42,0.15,0.58,0.13,0.25,0.18,0.25,0.77,0.58,0.10,0.32,0.48,0.60,0.23,0.23,0.50,0.22,0.53,0.28,0.20,0.15,0.28,0.10,0.18,0.17,0.17,0.18,0.17,0.12,0.65,0.00,0.45,0.50,0.23,0.48,0.20,0.45,0.18,0.33,0.18,0.30,0.28,0.17,2.08,0.25,0.60,0.35,0.27,0.40,0.42,1.25,0.23,0.22,0.25
DEP26,2.03,0.35,0.42,0.37,0.42,0.42,0.25,0.87,0.38,0.37,0.48,0.05,0.45,0.42,0.62,0.55,0.42,0.40,0.45,0.38,0.43,0.47,0.38,0.27,0.35,0.38,0.25,0.43,0.30,0.47,0.35,0.00,0.50,0.43,0.42,0.42,0.42,0.42,0.32,0.47,0.18,0.48,0.30,2.40,0.23,0.43,0.27,0.48,0.63,0.25,1.27,0.47,0.25,0.48
DEP27,2.65,0.17,0.45,0.17,0.18,0.28,0.15,0.62,0.42,0.22,0.25,0.37,0.48,0.20,0.38,0.02,0.20,0.10,0.20,0.18,0.27,0.50,0.27,0.13,0.12,0.17,0.10,0.17,0.18,0.47,0.30,0.35,0.00,0.22,0.70,0.20,0.12,0.28,0.50,0.42,0.20,0.52,0.13,2.37,0.15,0.48,0.50,0.25,0.62,0.50,1.53,0.37,0.12,0.30
CUS04,2.30,0.10,0.65,0.12,0.13,0.15,0.40,0.57,0.58,0.17,0.12,0.40,0.70,0.12,0.05,0.20,0.10,0.27,0.10,0.08,0.20,0.37,0.20,0.13,0.15,0.08,0.20,0.07,0.17,0.68,0.22,0.43,0.23,0.00,0.63,0.03,0.37,0.15,0.58,0.15,0.45,0.37,0.18,2.18,0.30,0.68,0.52,0.07,0.50,0.60,2.13,0.18,0.43,0.12
DEP28,1.63,0.55,0.78,0.53,0.53,0.42,0.63,1.02,0.70,0.43,0.65,0.33,0.72,0.53,0.70,0.82,0.52,0.95,0.58,0.53,0.42,0.37,0.47,0.60,0.57,0.52,0.52,0.60,0.67,0.85,0.50,0.45,0.80,0.57,0.00,0.53,0.88,0.42,0.32,0.47,0.67,0.32,0.58,1.32,0.52,0.67,0.33,0.57,0.32,0.50,1.07,0.57,0.63,0.83
CUS05,2.27,0.07,0.62,0.08,0.10,0.17,0.38,0.57,0.57,0.13,0.12,0.40,0.67,0.08,0.02,0.17,0.07,0.23,0.10,0.07,0.18,0.37,0.18,0.12,0.12,0.05,0.17,0.03,0.13,0.65,0.20,0.40,0.20,0.03,0.57,0.00,0.35,0.17,0.55,0.17,0.42,0.35,0.15,2.18,0.23,0.65,0.48,0.07,0.50,0.57,2.13,0.18,0.40,0.07
DEP29,3.08,0.28,0.42,0.25,0.23,0.38,0.27,0.72,0.40,0.33,0.33,0.43,0.43,0.27,0.48,0.12,0.28,0.08,0.30,0.30,0.38,0.62,0.40,0.22,0.23,0.27,0.20,0.30,0.28,0.43,0.38,0.42,0.12,0.37,0.80,0.33,0.00,0.38,0.65,0.70,0.30,0.62,0.22,2.47,0.27,0.43,0.65,0.40,0.72,0.53,1.67,0.47,0.22,0.47
CUS06,2.15,0.17,0.58,0.15,0.25,0.02,0.22,0.57,0.63,0.05,0.15,0.37,0.60,0.23,0.15,0.25,0.22,0.33,0.18,0.18,0.07,0.23,0.08,0.18,0.18,0.12,0.15,0.17,0.13,0.70,0.15,0.38,0.25,0.15,0.40,0.17,0.35,0.00,0.50,0.05,0.30,0.22,0.18,2.05,0.22,0.60,0.47,0.15,0.37,0.55,2.00,0.08,0.23,0.23
DEP30,2.07,0.50,0.73,0.48,0.58,0.53,0.50,1.13,0.73,0.47,0.70,0.28,0.67,0.57,0.75,0.62,0.55,0.68,0.63,0.48,0.50,0.53,0.52,0.45,0.43,0.53,0.40,0.55,0.40,0.80,0.47,0.30,0.70,0.58,0.43,0.55,0.68,0.53,0.00,0.57,0.47,0.55,0.43,1.33,0.48,0.67,0.12,0.62,0.42,0.20,1.23,0.58,0.48,0.72
DEP31,2.10,0.20,0.62,0.18,0.25,0.03,0.25,0.55,0.65,0.08,0.18,0.38,0.62,0.25,0.20,0.27,0.23,0.37,0.18,0.22,0.08,0.22,0.12,0.22,0.22,0.13,0.18,0.20,0.17,0.73,0.18,0.42,0.27,0.17,0.43,0.17,0.38,0.03,0.52,0.00,0.33,0.20,0.20,2.07,0.23,0.63,0.52,0.15,0.37,0.57,2.00,0.07,0.27,0.27
DEP32,2.68,0.25,0.38,0.25,0.28,0.27,0.10,0.80,0.38,0.22,0.35,0.18,0.40,0.28,0.48,0.25,0.30,0.28,0.32,0.27,0.27,0.48,0.27,0.17,0.20,0.25,0.12,0.27,0.17,0.42,0.28,0.17,0.37,0.32,0.52,0.30,0.38,0.27,0.50,0.30,0.00,0.48,0.17,2.38,0.10,0.40,0.43,0.37,0.65,0.35,1.33,0.35,0.13,0.42
DEP33,1.92,0.42,0.75,0.38,0.35,0.20,0.45,0.63,0.72,0.25,0.40,0.45,0.77,0.40,0.48,0.47,0.37,0.57,0.32,0.38,0.23,0.12,0.28,0.42,0.40,0.33,0.35,0.40,0.40,0.80,0.25,0.45,0.48,0.30,0.33,0.32,0.58,0.20,0.57,0.17,0.55,0.00,0.40,1.82,0.40,0.73,0.48,0.30,0.17,0.55,1.80,0.20,0.45,0.58
DEP34,2.88,0.08,0.52,0.07,0.18,0.17,0.13,0.77,0.60,0.12,0.28,0.32,0.53,0.17,0.10,0.10,0.15,0.18,0.25,0.12,0.17,0.42,0.17,0.02,0.02,0.08,0.07,0.10,0.05,0.63,0.17,0.33,0.10,0.17,0.63,0.13,0.22,0.17,0.45,0.28,0.18,0.40,0.00,2.20,0.13,0.53,0.38,0.22,0.53,0.52,1.53,0.25,0.10,0.13
DEP35,0.90,1.30,1.67,1.28,1.93,1.18,1.37,1.85,1.65,1.23,1.85,1.23,1.65,1.95,1.50,1.42,1.93,1.57,1.87,1.92,1.17,1.18,1.20,1.32,1.30,1.27,1.30,1.30,1.30,1.70,1.20,1.27,1.42,1.85,1.32,1.87,1.57,1.18,1.23,1.25,1.60,1.12,1.32,0.00,1.35,1.65,1.45,1.83,1.05,1.28,1.23,1.22,1.35,2.00
DEP36,2.38,0.22,0.37,0.22,0.23,0.25,0.02,0.70,0.38,0.18,0.32,0.17,0.38,0.25,0.45,0.37,0.23,0.25,0.27,0.23,0.23,0.48,0.25,0.13,0.17,0.22,0.08,0.27,0.13,0.42,0.25,0.15,0.33,0.28,0.43,0.25,0.38,0.25,0.50,0.23,0.05,0.48,0.15,2.37,0.00,0.38,0.43,0.32,0.55,0.35,1.20,0.30,0.10,0.38
DEP37,2.27,0.60,0.07,0.60,0.53,0.62,0.42,1.20,0.07,0.57,0.65,0.42,0.02,0.55,0.90,0.48,0.57,0.43,0.58,0.60,0.60,0.75,0.62,0.50,0.55,0.58,0.43,0.62,0.60,0.13,0.63,0.37,0.47,0.67,0.65,0.63,0.42,0.62,0.67,0.67,0.40,0.77,0.53,1.83,0.42,0.00,0.65,0.72,0.75,0.53,1.50,0.67,0.47,0.85
DEP38,2.23,0.40,0.75,0.38,0.43,0.42,0.43,1.05,0.73,0.37,0.53,0.20,0.68,0.43,0.50,0.53,0.43,0.65,0.52,0.40,0.38,0.58,0.35,0.37,0.35,0.40,0.35,0.40,0.30,0.80,0.32,0.22,0.53,0.47,0.45,0.43,0.65,0.42,0.10,0.45,0.38,0.58,0.37,1.30,0.43,0.68,0.00,0.48,0.48,0.17,1.38,0.48,0.40,0.47
DEP39,2.25,0.12,0.67,0.13,0.13,0.15,0.43,0.55,0.62,0.20,0.10,0.43,0.72,0.17,0.08,0.23,0.13,0.25,0.07,0.12,0.20,0.35,0.23,0.17,0.17,0.12,0.23,0.10,0.18,0.72,0.25,0.47,0.27,0.05,0.58,0.07,0.40,0.15,0.60,0.15,0.52,0.33,0.22,2.17,0.30,0.72,0.55,0.00,0.50,0.62,2.15,0.18,0.47,0.15
DEP40,1.80,0.48,0.87,0.47,0.48,0.33,0.55,0.75,0.83,0.33,0.55,0.37,0.80,0.47,0.60,0.77,0.45,0.90,0.45,0.43,0.30,0.23,0.37,0.50,0.50,0.43,0.48,0.53,0.53,0.93,0.38,0.57,0.77,0.45,0.33,0.45,0.82,0.33,0.42,0.30,0.67,0.13,0.55,1.77,0.48,0.77,0.43,0.45,0.00,0.50,1.70,0.35,0.55,0.65
DEP41,2.33,0.57,0.60,0.57,0.58,0.55,0.38,1.13,0.58,0.50,0.67,0.18,0.53,0.58,1.02,0.57,0.60,0.52,0.60,0.58,0.52,0.60,0.48,0.48,0.50,0.58,0.42,0.57,0.55,0.65,0.43,0.22,0.57,0.62,0.52,0.58,0.53,0.55,0.15,0.58,0.35,0.62,0.50,1.47,0.38,0.53,0.18,0.65,0.52,0.00,1.45,0.62,0.43,0.92
DEP42,0.38,2.45,1.58,2.40,2.18,2.00,2.47,1.68,1.50,2.07,2.50,1.07,1.52,2.18,3.07,2.60,2.13,2.80,2.17,2.18,2.03,1.97,2.25,2.42,2.45,2.30,2.25,2.42,2.83,1.68,2.28,1.23,2.67,2.13,1.05,2.18,2.87,1.98,1.25,1.93,1.47,1.75,2.72,1.28,2.10,1.45,1.30,2.17,1.75,1.50,0.00,2.25,2.52,3.02
DEP43,2.33,0.25,0.65,0.23,0.28,0.10,0.28,0.63,0.77,0.13,0.22,0.50,0.67,0.30,0.23,0.33,0.28,0.40,0.22,0.25,0.13,0.20,0.17,0.27,0.25,0.18,0.22,0.23,0.20,0.78,0.25,0.45,0.32,0.20,0.55,0.20,0.43,0.10,0.57,0.03,0.37,0.20,0.25,2.03,0.28,0.67,0.55,0.20,0.33,0.62,2.20,0.00,0.30,0.32
DEP44,2.90,0.15,0.50,0.13,0.15,0.25,0.27,0.70,0.47,0.20,0.22,0.33,0.53,0.17,0.35,0.07,0.18,0.15,0.18,0.15,0.28,0.47,0.28,0.08,0.12,0.17,0.08,0.15,0.15,0.52,0.27,0.32,0.07,0.20,0.72,0.17,0.17,0.25,0.50,0.28,0.20,0.48,0.12,2.32,0.27,0.53,0.45,0.23,0.58,0.48,1.47,0.30,0.00,0.28
CUS07,3.27,0.12,0.68,0.13,0.05,0.33,0.37,0.68,0.65,0.22,0.20,0.50,0.68,0.05,0.10,0.25,0.02,0.25,0.22,0.10,0.27,0.55,0.27,0.18,0.17,0.17,0.23,0.12,0.20,0.68,0.27,0.45,0.25,0.15,0.83,0.12,0.32,0.33,0.68,0.33,0.38,0.58,0.18,1.92,0.37,0.68,0.55,0.23,0.70,0.58,1.90,0.35,0.33,0.00
